filter,corr_activity,auroc_active_vs_inactive,pvalue,sign,best_TF,abs_enrich
42,0.217,0.562,1.4721172633469095e-21,activating,PHOX2A,0.062000000000000055
176,0.2,0.558,1.5459075765303019e-19,activating,,0.05800000000000005
137,0.15,0.558,1.5105707079901168e-19,activating,,0.05800000000000005
133,-0.151,0.443,1.459061206853393e-18,repressive,,0.056999999999999995
154,-0.199,0.443,1.871202075441161e-18,repressive,Thap11,0.056999999999999995
111,-0.181,0.444,5.795713459132677e-18,repressive,BCL6,0.055999999999999994
114,-0.242,0.446,5.0937865118573785e-17,repressive,Mafg,0.05399999999999999
77,-0.116,0.447,1.7296798483709692e-16,repressive,,0.05299999999999999
26,-0.163,0.448,1.3809250996604707e-15,repressive,,0.05199999999999999
152,-0.13,0.45,1.7443712447110672e-14,repressive,,0.04999999999999999
25,-0.184,0.454,1.230784343888207e-12,repressive,ZNF213,0.045999999999999985
159,-0.125,0.454,6.269319760583434e-13,repressive,,0.045999999999999985
64,-0.129,0.454,9.226940355610354e-13,repressive,E2F4,0.045999999999999985
5,-0.158,0.455,2.3418032796536796e-12,repressive,,0.044999999999999984
81,-0.13,0.456,6.580908649170613e-12,repressive,IRF9,0.043999999999999984
156,0.063,0.542,7.982047802616998e-11,activating,,0.04200000000000004
117,0.166,0.542,6.818723447863408e-11,activating,,0.04200000000000004
33,-0.081,0.458,1.182481736613339e-10,repressive,,0.04199999999999998
177,0.114,0.541,2.1235597161056376e-10,activating,,0.041000000000000036
110,0.088,0.541,1.9870570419300228e-10,activating,,0.041000000000000036
103,-0.125,0.459,1.3855214612632122e-10,repressive,,0.04099999999999998
47,-0.1,0.459,1.9107812790953687e-10,repressive,,0.04099999999999998
66,0.099,0.54,6.097287657847223e-10,activating,,0.040000000000000036
90,0.105,0.54,3.9511848714731315e-10,activating,,0.040000000000000036
150,-0.178,0.46,4.789879211098843e-10,repressive,Zic2,0.03999999999999998
55,0.144,0.539,2.0867251300035526e-09,activating,,0.039000000000000035
68,-0.114,0.461,1.9765976066673694e-09,repressive,,0.03899999999999998
39,-0.126,0.461,2.3444679301142617e-09,repressive,,0.03899999999999998
31,0.126,0.537,7.08524817232589e-09,activating,,0.03700000000000003
69,-0.086,0.463,1.1064829650647922e-08,repressive,,0.03699999999999998
119,-0.105,0.464,2.809203919554365e-08,repressive,,0.035999999999999976
162,-0.055,0.464,2.5165861514461475e-08,repressive,,0.035999999999999976
54,0.169,0.535,7.311511058187397e-08,activating,PHOX2B,0.03500000000000003
134,-0.101,0.465,6.77556145007643e-08,repressive,,0.034999999999999976
96,-0.103,0.465,3.8393293153264903e-08,repressive,,0.034999999999999976
166,0.118,0.534,1.994781227139234e-07,activating,,0.03400000000000003
168,-0.093,0.466,2.038514429936935e-07,repressive,,0.033999999999999975
82,-0.059,0.466,1.3671388375264697e-07,repressive,,0.033999999999999975
6,-0.163,0.467,2.480288961574059e-07,repressive,,0.032999999999999974
144,-0.048,0.467,2.590107853080305e-07,repressive,,0.032999999999999974
19,0.091,0.532,7.255096841237756e-07,activating,,0.03200000000000003
70,-0.047,0.468,1.0215902878361373e-06,repressive,,0.03199999999999997
141,-0.058,0.468,9.631694205622355e-07,repressive,,0.03199999999999997
102,-0.107,0.468,9.28868242581097e-07,repressive,,0.03199999999999997
48,-0.06,0.468,5.118995762454276e-07,repressive,,0.03199999999999997
38,-0.12,0.468,8.641661138454296e-07,repressive,,0.03199999999999997
184,-0.09,0.468,5.412666524769959e-07,repressive,,0.03199999999999997
149,-0.087,0.468,5.402462372033655e-07,repressive,,0.03199999999999997
27,0.111,0.531,2.1539616090452943e-06,activating,,0.031000000000000028
121,-0.118,0.469,2.010685539926985e-06,repressive,,0.031000000000000028
52,-0.058,0.469,1.1231883740290124e-06,repressive,,0.031000000000000028
24,0.035,0.53,3.6925987710300264e-06,activating,,0.030000000000000027
172,-0.105,0.47,4.419379766610169e-06,repressive,,0.030000000000000027
4,0.132,0.53,2.690076736481913e-06,activating,,0.030000000000000027
35,-0.084,0.47,3.079817928761417e-06,repressive,,0.030000000000000027
129,0.158,0.53,2.74993179502281e-06,activating,TFAP4::FLI1,0.030000000000000027
151,0.124,0.529,5.081791468578078e-06,activating,,0.029000000000000026
106,-0.08,0.471,8.448646672489743e-06,repressive,,0.029000000000000026
180,-0.066,0.472,2.0417384312762205e-05,repressive,,0.028000000000000025
73,-0.09,0.473,2.398556326938856e-05,repressive,,0.027000000000000024
3,0.047,0.525,8.615629349331709e-05,activating,,0.025000000000000022
56,-0.078,0.475,0.00012721582209451512,repressive,,0.025000000000000022
79,-0.057,0.475,9.923946087353973e-05,repressive,,0.025000000000000022
23,-0.085,0.475,9.091246043796716e-05,repressive,,0.025000000000000022
190,0.093,0.525,9.66802345774073e-05,activating,,0.025000000000000022
122,-0.062,0.475,0.00014128519761774774,repressive,,0.025000000000000022
126,-0.062,0.476,0.00027192724455874195,repressive,,0.02400000000000002
158,-0.064,0.476,0.00024608988001052616,repressive,,0.02400000000000002
112,0.055,0.524,0.00026553567045925654,activating,,0.02400000000000002
86,-0.085,0.477,0.00028632367458178665,repressive,,0.02300000000000002
97,-0.144,0.477,0.0003203702214528552,repressive,Spz1,0.02300000000000002
136,0.059,0.523,0.0004554706206696979,activating,,0.02300000000000002
34,-0.088,0.477,0.00037250166000346883,repressive,,0.02300000000000002
63,0.132,0.523,0.00028116232074790225,activating,,0.02300000000000002
155,-0.075,0.478,0.0006613559652013961,repressive,,0.02200000000000002
131,-0.052,0.478,0.0008447848682261193,repressive,,0.02200000000000002
135,-0.021,0.478,0.0006364549894070241,repressive,,0.02200000000000002
60,0.062,0.522,0.0005317037374103128,activating,,0.02200000000000002
12,-0.104,0.478,0.0005820550731401626,repressive,,0.02200000000000002
11,-0.026,0.479,0.0013822250705082585,repressive,,0.02100000000000002
58,0.068,0.521,0.0010772524595145613,activating,,0.02100000000000002
164,-0.135,0.479,0.0014231271252874405,repressive,,0.02100000000000002
186,0.007,0.521,0.00133947608585549,activating,,0.02100000000000002
53,0.022,0.52,0.0019232614895250283,activating,,0.020000000000000018
100,-0.051,0.48,0.0020118833629862074,repressive,,0.020000000000000018
143,-0.096,0.48,0.001996271635665978,repressive,,0.020000000000000018
98,0.05,0.52,0.0019004598389642075,activating,,0.020000000000000018
182,-0.017,0.48,0.0017242866589315983,repressive,,0.020000000000000018
93,0.055,0.519,0.002578281034492104,activating,,0.019000000000000017
183,0.037,0.519,0.003828586188302544,activating,,0.019000000000000017
16,0.086,0.519,0.002764735663428384,activating,,0.019000000000000017
147,-0.01,0.481,0.0037455313355341893,repressive,,0.019000000000000017
170,0.027,0.518,0.0047912992043861275,activating,,0.018000000000000016
29,-0.014,0.482,0.0051034946479653915,repressive,,0.018000000000000016
173,0.072,0.518,0.006612289794605251,activating,,0.018000000000000016
50,0.081,0.518,0.004445761206003939,activating,,0.018000000000000016
18,0.015,0.482,0.0065478003920455335,activating,,0.018000000000000016
80,-0.063,0.482,0.005618264134613662,repressive,,0.018000000000000016
41,0.019,0.517,0.010027790981962617,activating,,0.017000000000000015
185,-0.069,0.483,0.007387917449426672,repressive,,0.017000000000000015
37,0.012,0.516,0.011166822171945862,activating,,0.016000000000000014
45,0.033,0.516,0.014766517114801741,activating,,0.016000000000000014
187,-0.063,0.484,0.014082068849682189,repressive,,0.016000000000000014
124,-0.049,0.484,0.014033971508600447,repressive,,0.016000000000000014
30,0.052,0.516,0.010721192506711691,activating,,0.016000000000000014
17,-0.08,0.484,0.015317606028762445,repressive,,0.016000000000000014
44,-0.103,0.485,0.018327219671764313,repressive,ZNF418,0.015000000000000013
57,0.049,0.515,0.016464551155606716,activating,,0.015000000000000013
72,-0.034,0.485,0.02423466927006104,repressive,,0.015000000000000013
139,0.078,0.515,0.017771251195593113,activating,,0.015000000000000013
85,0.031,0.515,0.019037801393147705,activating,,0.015000000000000013
113,0.003,0.514,0.02795680076532686,activating,,0.014000000000000012
75,0.054,0.514,0.03113445822299969,activating,,0.014000000000000012
92,0.043,0.514,0.034349088509180045,activating,,0.014000000000000012
7,-0.056,0.486,0.033281838959085666,repressive,,0.014000000000000012
1,-0.01,0.486,0.030339681772140026,repressive,,0.014000000000000012
14,-0.033,0.486,0.03520758065290592,repressive,,0.014000000000000012
49,0.051,0.513,0.04453825851116221,activating,,0.013000000000000012
125,-0.06,0.487,0.03744249253042295,repressive,,0.013000000000000012
105,-0.058,0.487,0.03963533320066824,repressive,,0.013000000000000012
130,-0.035,0.487,0.051296505564453025,repressive,,0.013000000000000012
179,-0.037,0.487,0.048261414403979984,repressive,,0.013000000000000012
188,-0.089,0.488,0.07431948701469061,repressive,,0.01200000000000001
0,-0.072,0.488,0.07313068796513401,repressive,,0.01200000000000001
99,0.051,0.512,0.06426977252698964,activating,,0.01200000000000001
32,0.013,0.511,0.07587657814045837,activating,,0.01100000000000001
22,-0.035,0.489,0.10368023221741235,repressive,,0.01100000000000001
8,-0.079,0.489,0.08612181451379596,repressive,,0.01100000000000001
120,-0.031,0.489,0.09727879051134167,repressive,,0.01100000000000001
163,-0.033,0.489,0.0865077855733167,repressive,,0.01100000000000001
62,-0.017,0.489,0.08524419074363856,repressive,,0.01100000000000001
107,0.076,0.51,0.1367268529933932,activating,,0.010000000000000009
109,0.069,0.51,0.12855170544612027,activating,,0.010000000000000009
9,-0.053,0.49,0.11231849275966671,repressive,,0.010000000000000009
13,-0.065,0.49,0.1312421083473613,repressive,,0.010000000000000009
115,0.015,0.51,0.12763060437159207,activating,,0.010000000000000009
189,-0.005,0.491,0.15610474770108257,repressive,,0.009000000000000008
128,0.023,0.509,0.16342053942394047,activating,,0.009000000000000008
157,0.017,0.491,0.17855859808563185,activating,,0.009000000000000008
10,-0.035,0.491,0.17904984155708012,repressive,,0.009000000000000008
43,-0.029,0.491,0.14647411443948585,repressive,,0.009000000000000008
83,0.034,0.509,0.16182932637048753,activating,,0.009000000000000008
88,-0.047,0.491,0.1536709963270379,repressive,,0.009000000000000008
36,0.015,0.492,0.2183068562483453,activating,,0.008000000000000007
145,-0.05,0.492,0.21270528788491003,repressive,,0.008000000000000007
61,0.053,0.508,0.18953563892248584,activating,,0.008000000000000007
84,0.04,0.508,0.24211254596035753,activating,,0.008000000000000007
74,-0.022,0.492,0.225053690345473,repressive,,0.008000000000000007
95,-0.1,0.492,0.2252406337267388,repressive,,0.008000000000000007
161,0.031,0.508,0.21454652303303834,activating,,0.008000000000000007
132,-0.026,0.492,0.20727975468256474,repressive,,0.008000000000000007
101,0.038,0.508,0.2408909050738689,activating,,0.008000000000000007
71,-0.041,0.493,0.2649931791495486,repressive,,0.007000000000000006
160,0.016,0.507,0.3123949713960663,activating,,0.007000000000000006
65,0.01,0.507,0.26787812269204475,activating,,0.007000000000000006
167,-0.074,0.493,0.30521547559505735,repressive,,0.007000000000000006
2,0.023,0.506,0.3597506171631939,activating,,0.006000000000000005
175,-0.013,0.494,0.33885669255118245,repressive,,0.006000000000000005
20,0.009,0.506,0.373564927151505,activating,,0.006000000000000005
59,-0.08,0.494,0.377498129508354,repressive,,0.006000000000000005
127,0.039,0.506,0.3402275216362468,activating,,0.006000000000000005
118,-0.042,0.494,0.3477857452665797,repressive,,0.006000000000000005
76,0.055,0.506,0.373201066937382,activating,,0.006000000000000005
91,-0.047,0.494,0.38906079297397866,repressive,,0.006000000000000005
146,0.07,0.506,0.3368338930403478,activating,,0.006000000000000005
178,-0.008,0.494,0.3486838195961178,repressive,,0.006000000000000005
174,0.035,0.494,0.3715042285504368,activating,,0.006000000000000005
51,0.013,0.505,0.4586314155488604,activating,,0.0050000000000000044
140,-0.012,0.495,0.4573439771638814,repressive,,0.0050000000000000044
116,-0.047,0.495,0.4176434740273015,repressive,,0.0050000000000000044
142,-0.01,0.495,0.46791975468049274,repressive,,0.0050000000000000044
171,0.016,0.504,0.5782109999342833,activating,,0.0040000000000000036
123,-0.007,0.496,0.5209745167427862,repressive,,0.0040000000000000036
89,-0.061,0.496,0.5244193278877606,repressive,,0.0040000000000000036
78,-0.014,0.496,0.5823114437734644,repressive,,0.0040000000000000036
21,0.021,0.497,0.624148596121743,activating,,0.0030000000000000027
148,0.006,0.503,0.6725565216581519,activating,,0.0030000000000000027
181,0.012,0.503,0.6176274225182463,activating,,0.0030000000000000027
138,0.002,0.497,0.5974893477814243,activating,,0.0030000000000000027
94,0.012,0.497,0.5942644450618136,activating,,0.0030000000000000027
87,-0.022,0.497,0.6762837624707932,repressive,,0.0030000000000000027
108,0.029,0.502,0.7522478182319683,activating,,0.0020000000000000018
28,-0.02,0.498,0.7776440109844878,repressive,,0.0020000000000000018
46,-0.005,0.498,0.7060716246462042,repressive,,0.0020000000000000018
104,-0.039,0.502,0.8086017281537602,repressive,,0.0020000000000000018
15,0.028,0.501,0.9015066580800177,activating,,0.0010000000000000009
40,-0.046,0.501,0.9274735658627354,repressive,,0.0010000000000000009
169,-0.058,0.499,0.8883772772475839,repressive,,0.0010000000000000009
191,0.031,0.499,0.8697113709673053,activating,,0.0010000000000000009
165,0.016,0.501,0.8336756998956997,activating,,0.0010000000000000009
67,0.01,0.5,0.9430302586315337,activating,,0.0
153,-0.046,0.5,0.9523342301066964,repressive,,0.0
